Series ID,Year,Period,Label,Value
LNS11000000,2012,M01,2012 Jan,154381
LNS11000000,2012,M02,2012 Feb,154671
LNS11000000,2012,M03,2012 Mar,154749
LNS11000000,2012,M04,2012 Apr,154545
LNS11000000,2012,M05,2012 May,154866
LNS11000000,2012,M06,2012 Jun,155083
LNS11000000,2012,M07,2012 Jul,154948
LNS11000000,2012,M08,2012 Aug,154763
LNS11000000,2012,M09,2012 Sep,155160
LNS11000000,2012,M10,2012 Oct,155554
LNS11000000,2012,M11,2012 Nov,155338
LNS11000000,2012,M12,2012 Dec,155628
LNS11000000,2013,M01,2013 Jan,155763
LNS11000000,2013,M02,2013 Feb,155312
LNS11000000,2013,M03,2013 Mar,155005
LNS11000000,2013,M04,2013 Apr,155394
LNS11000000,2013,M05,2013 May,155536
LNS11000000,2013,M06,2013 Jun,155749
LNS11000000,2013,M07,2013 Jul,155599
LNS11000000,2013,M08,2013 Aug,155605
LNS11000000,2013,M09,2013 Sep,155687
LNS11000000,2013,M10,2013 Oct,154673
LNS11000000,2013,M11,2013 Nov,155265
LNS11000000,2013,M12,2013 Dec,155182
LNS11000000,2014,M01,2014 Jan,155352
LNS11000000,2014,M02,2014 Feb,155483
LNS11000000,2014,M03,2014 Mar,156028
LNS11000000,2014,M04,2014 Apr,155369
LNS11000000,2014,M05,2014 May,155684
LNS11000000,2014,M06,2014 Jun,155707
LNS11000000,2014,M07,2014 Jul,156007
LNS11000000,2014,M08,2014 Aug,156130
LNS11000000,2014,M09,2014 Sep,156040
LNS11000000,2014,M10,2014 Oct,156417
LNS11000000,2014,M11,2014 Nov,156494
LNS11000000,2014,M12,2014 Dec,156332
LNS11000000,2015,M01,2015 Jan,157030
LNS11000000,2015,M02,2015 Feb,156644
LNS11000000,2015,M03,2015 Mar,156643
LNS11000000,2015,M04,2015 Apr,157060
LNS11000000,2015,M05,2015 May,157651
LNS11000000,2015,M06,2015 Jun,157062
LNS11000000,2015,M07,2015 Jul,156997
LNS11000000,2015,M08,2015 Aug,157172
LNS11000000,2015,M09,2015 Sep,156733
LNS11000000,2015,M10,2015 Oct,157167
LNS11000000,2015,M11,2015 Nov,157463
LNS11000000,2015,M12,2015 Dec,158035
LNS11000000,2016,M01,2016 Jan,158280
LNS11000000,2016,M02,2016 Feb,158640
LNS11000000,2016,M03,2016 Mar,159179
LNS11000000,2016,M04,2016 Apr,159141
LNS11000000,2016,M05,2016 May,158784
LNS11000000,2016,M06,2016 Jun,158967
LNS11000000,2016,M07,2016 Jul,159194
LNS11000000,2016,M08,2016 Aug,159562
